日期,UID,获取积分数
2022/4/29,,15.68
2022/4/29,,5.6
2022/4/29,,3919.381
2022/4/29,,153.895
2022/4/29,,53.76
2022/4/29,,510.328
2022/4/29,,713.27
2022/4/29,,61.597
2022/4/29,,2339.573
2022/4/29,,2.8
2022/4/29,,20.748
2022/4/29,,6250.16
2022/4/29,,29.199
2022/4/29,,17.64
2022/4/29,,1791.006
2022/4/29,,2.8
2022/4/29,,392.26
2022/4/29,,2876.732
2022/4/29,,19.6
2022/4/29,,424.76
2022/4/29,,622.87
2022/4/29,,947.247
2022/4/29,,2239.061
2022/4/29,,685.44
2022/4/29,,234.612
2022/4/29,,28.329
2022/4/29,,29.82
2022/4/29,,26.88
2022/4/29,,2548.727
2022/4/29,,1.4
2022/4/29,,20.44
2022/4/29,,17.08
2022/4/29,,456.36
2022/4/29,,1.4
2022/4/29,,42.072
2022/4/29,,13.58
2022/4/29,,1.68
2022/4/29,,152.88
2022/4/29,,32.76
2022/4/29,,2614.827
2022/4/29,,72.52
2022/4/29,,1671.342
2022/4/29,,34.16
2022/4/29,,913.28
2022/4/29,,3969.281
2022/4/29,,1259.279
2022/4/29,,19.04
2022/4/29,,358.96
2022/4/29,,150.64
2022/4/29,,5.6
2022/4/29,,1.96
2022/4/29,,1402.159
2022/4/29,,74.214
2022/4/29,,104.196
2022/4/29,,218.4
2022/4/29,,4774.544
2022/4/29,,713.629
2022/4/29,,419.32
2022/4/29,,2540.59
2022/4/29,,559.96
2022/4/29,,1648.816
2022/4/29,,151.52
2022/4/29,,259.24
2022/4/29,,111.468
2022/4/29,,2117.12
2022/4/29,,89.32
2022/4/29,,0.28
2022/4/29,,649.16
2022/4/29,,13.72
2022/4/29,,223.36
2022/4/29,,37.8
2022/4/29,,3.92
2022/4/29,,1.68
2022/4/29,,564.116
2022/4/29,,1781.969
2022/4/29,,35.77
2022/4/29,,13.72
2022/4/29,,265.321
2022/4/29,,290.04
2022/4/29,,805.53
2022/4/29,,1159.88
2022/4/29,,50.96
2022/4/29,,889.44
2022/4/29,,1.68
2022/4/29,,284.75
2022/4/29,,1035.595
2022/4/29,,174.36
2022/4/29,,469.2
2022/4/29,,4054.341
2022/4/29,,7
2022/4/29,,58.8
2022/4/29,,395.2
2022/4/29,,900.2
2022/4/29,,632.429
2022/4/29,,27.44
2022/4/29,,1.4
2022/4/29,,3001.03
2022/4/29,,8.68
2022/4/29,,35.28
2022/4/29,,8.4
2022/4/29,,23.142
2022/4/29,,224.518
2022/4/29,,14
2022/4/29,,272.96
2022/4/29,,3091.512
2022/4/29,,442.92
2022/4/29,,1094.399
2022/4/29,,15.96
2022/4/29,,1252.76
2022/4/29,,1926.8
2022/4/29,,1713.556
2022/4/29,,4605.886
2022/4/29,,53.76
2022/4/29,,11.76
2022/4/29,,76.44
2022/4/29,,85.519
2022/4/29,,240.948
2022/4/29,,1611.232
2022/4/29,,6422.588
2022/4/29,,2394.4
2022/4/29,,1321.588
2022/4/29,,267.68
2022/4/29,,42
2022/4/29,,1680.28
2022/4/29,,53.76
2022/4/29,,12.6
2022/4/29,,1914.36
2022/4/29,,107.88
2022/4/29,,45.759
2022/4/29,,7.84
2022/4/29,,1713.368
2022/4/29,,395.36
2022/4/29,,9180.548
2022/4/29,,1.96
2022/4/29,,0.28
2022/4/29,,111.72
2022/4/29,,197.28
2022/4/29,,11043.034
2022/4/29,,1.96
2022/4/29,,57.68
2022/4/29,,15.96
2022/4/29,,132.96
2022/4/29,,162.038
2022/4/29,,29.4
2022/4/29,,1083.96
2022/4/29,,1960.452
2022/4/29,,23.52
2022/4/29,,815.892
2022/4/29,,2780.919
2022/4/29,,1004.29
2022/4/29,,181.56
2022/4/29,,362.68
2022/4/29,,700.76
2022/4/29,,52.92
2022/4/29,,432.143
2022/4/29,,5477.647
2022/4/29,,103.908
2022/4/29,,1348.925
2022/4/29,,30296.822
2022/4/29,,864
2022/4/29,,490.675
2022/4/29,,15.4
2022/4/29,,8.4
2022/4/29,,1721.198
2022/4/29,,73.99
2022/4/29,,1056.492
2022/4/29,,0.28
2022/4/29,,0.28
2022/4/29,,3197.4
2022/4/29,,5511.484
2022/4/29,,175.704
2022/4/29,,207.893
2022/4/29,,262.661
2022/4/29,,3.92
2022/4/29,,13.72
2022/4/29,,39.2
